Date,CO,NO1,NO2,O3,SO2
2013-02-03 14:00:00,59.7773438,168.408203,1.1,19.904623,23.59375
2013-02-03 15:00:00,59.7773438,168.408203,0.7,19.904623,23.59375
2013-02-03 16:00:00,59.7773438,168.408203,0.7,19.904623,23.59375
2013-02-03 17:00:00,59.7773438,168.408203,0.6,19.904623,23.59375
2013-02-03 18:00:00,59.7773438,168.408203,1.4,19.904623,23.59375
2013-02-03 19:00:00,59.7773438,168.408203,1.9,19.904623,23.59375
2013-02-03 20:00:00,59.7773438,168.408203,3.7,19.904623,23.59375
2013-02-03 21:00:00,59.7773438,168.408203,3.7,19.904623,23.59375
2013-02-03 22:00:00,59.7773438,168.408203,3.6,19.904623,23.59375
2013-02-03 23:00:00,59.7773438,168.408203,4.1,19.904623,23.59375
2013-02-04 00:00:00,59.7773438,168.408203,3.1,19.904623,23.59375
2013-02-04 01:00:00,59.7773438,168.408203,1.9,19.904623,23.59375
2013-02-04 02:00:00,59.7773438,168.408203,1.4,19.904623,23.59375
2013-02-04 03:00:00,59.7773438,168.408203,1.0,19.904623,23.59375
2013-02-04 04:00:00,59.7773438,168.408203,1.1,19.904623,23.59375
2013-02-04 05:00:00,59.7773438,168.408203,1.4,19.904623,23.59375
2013-02-04 06:00:00,59.7773438,168.408203,1.4,19.904623,23.59375
2013-02-04 07:00:00,59.7773438,168.408203,1.4,19.904623,23.59375
2013-02-04 08:00:00,59.7773438,168.408203,1.4,19.904623,23.59375
2013-02-04 09:00:00,59.7773438,168.408203,1.6,19.904623,23.59375
2013-02-04 10:00:00,59.7773438,168.408203,2.1,19.904623,23.59375
2013-02-04 11:00:00,59.7773438,168.408203,2.1,19.904623,23.59375
2013-02-04 12:00:00,59.7773438,168.408203,1.4,19.904623,23.59375
2013-02-04 13:00:00,59.7773438,168.408203,1.3,19.904623,23.59375
2013-02-04 14:00:00,59.7773438,168.408203,0.9,19.904623,23.59375
2013-02-04 15:00:00,59.7773438,168.408203,0.6,19.904623,23.59375
2013-02-04 16:00:00,59.7773438,168.408203,0.2,19.904623,23.59375
2013-02-04 17:00:00,59.7773438,168.408203,0.8,19.904623,23.59375
2013-02-04 18:00:00,59.7773438,168.408203,0.8,19.904623,23.59375
2013-02-04 19:00:00,59.7773438,168.408203,1.4,19.904623,23.59375
2013-02-04 20:00:00,59.7773438,168.408203,1.2,19.904623,23.59375
2013-02-04 21:00:00,59.7773438,168.408203,1.3,19.904623,23.59375
2013-02-04 22:00:00,59.7773438,168.408203,1.1,19.904623,23.59375
2013-02-04 23:00:00,59.7773438,168.408203,1.1,19.904623,23.59375
2013-02-05 00:00:00,59.7773438,168.408203,0.8,19.904623,23.59375
2013-02-05 01:00:00,59.7773438,168.408203,0.8,19.904623,23.59375
2013-02-05 02:00:00,59.7773438,168.408203,1.0,19.904623,23.59375
2013-02-05 03:00:00,59.7773438,168.408203,1.0,19.904623,23.59375
2013-02-05 04:00:00,59.7773438,168.408203,0.7,19.904623,23.59375
2013-02-05 05:00:00,59.7773438,168.408203,1.0,19.904623,23.59375
2013-02-05 06:00:00,59.7773438,168.408203,1.3,19.904623,23.59375
2013-02-05 07:00:00,59.7773438,168.408203,0.9,19.904623,23.59375
2013-02-05 08:00:00,59.7773438,168.408203,1.1,19.904623,23.59375
2013-02-05 09:00:00,59.7773438,168.408203,1.0,19.904623,23.59375
2013-02-05 10:00:00,59.7773438,168.408203,1.1,19.904623,23.59375
2013-02-05 11:00:00,59.7773438,168.408203,0.6,19.904623,23.59375
